;reference;auteur;date_acquisition;denomination;date_de_mise_a_jour;date_de_creation;domaine;ecole_pays;epoque;lieu_de_creation_utilisation;millesime_de_creation;identifiant_museofile;precision_auteur;periode_de_creation;sujet_represente;materiaux_techniques;titre;Date_Acquisition_1;Epoque_1;Dénomination_1;Ecole_pays_1;P1;P_Dates;Titre_Oeuvre;Auteur_1;Auteur-1;Auteur-2;Auteur-3;Auteur-4;Auteur-5;Auteur-6;Auteur-7;Domaine_1;Domaine-1;Domaine-2;Domaine-3;Domaine-4;Domaine-5
5739;6070059550;THORNTHING J (graveur),EDWARDS E (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Grande-Bretagne;;;1780;M0607;;4e quart 18e siècle;figure mythologique (Ladon, Héraclès, sculpture, arbre, pomme, homme, nu, serpent);papier vergé, aquatinte, encre;Hercules poma hesperidum auferens;1867;;;GRANDE-BRETAGNE;;;HERCULES POMA HESPERIDUM AUFERENS;THORNTHING J ,EDWARDS E;THORNTHING J;EDWARDS E;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5741;6070059551;NOLLI Carlo (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Nolli : ?, 1724, ?, 1775#vanni : ?, 1757, ?, 1792;18e siècle;figure (sculpture, homme, nu, thyrse);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1724, ?, 1775#vanni : ?, 1757, ?, 1792;1724-1775-1757-1792;;NOLLI CARLO ,VANNI NICOLA;NOLLI CARLO;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5743;6070059552;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, homme, Romain, toge, à l'antique, soldat);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5745;6070059553;NOLLI Carlo (graveur),CASANOVA Francesco Giuseppe (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Nolli : ?, 1724, ?, 1775#casanova : ?, 1727, ?, 1803;18e siècle,19e siècle;figure (sculpture, tunique, draperie, homme);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1724, ?, 1775#casanova : ?, 1727, ?, 1803;1724-1775-1727-1803;;NOLLI CARLO ,CASANOVA FRANCESCO GIUSEPPE;NOLLI CARLO;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5747;6070059554;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;scène mythologique (Héraclès, sculpture, fourrure, Lion de Némée, massue, homme, nu, pomme);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5749;6070059555;FIORILLO Nicola (graveur),CASANOVA Francesco Giuseppe (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Fiorillo : actif au 18e siècle#casanova : ?, 1727, ?, 1803;18e siècle;figure (sculpture, homme, nu, sport);papier vergé, gravure, encre;;1867;;;ITALIE;actif au 18e siècle#casanova : ?, 1727, ?, 1803;18-1727-1803;;FIORILLO NICOLA ,CASANOVA FRANCESCO GIUSEPPE;FIORILLO NICOLA;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5751;6070059556;BILLY Nicola (graveur),CASANOVA Francesco Giuseppe (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Casanova : ?, 1727, ?, 1803;18e siècle;figure (sculpture, draperie, homme, tunique, à l'antique);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1727, ?, 1803;1727-1803;;BILLY NICOLA ,CASANOVA FRANCESCO GIUSEPPE;BILLY NICOLA;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5753;6070059557;GREGORJ Giovanni Carlo (graveur),CAMPIGLIA Giovanni Domenico (d'après);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Gregorj : ?, 1797, ?, 1852#campiglia : ?, 1692, ?, 1775;19e siècle;figure (sculpture, fourrure, léopard, homme, nu, chien);papier vergé, gravure, encre;'Bacco';1867;;;ITALIE;?, 1797, ?, 1852#campiglia : ?, 1692, ?, 1775;1797-1852-1692-1775;'BACCO';GREGORJ GIOVANNI CARLO ,CAMPIGLIA GIOVANNI DOMENICO;GREGORJ GIOVANNI CARLO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5755;6070059558;GARZOLI Francesco (graveur),BIANCHI Gaetano (d'après);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;Bianchi : ?, 1819, ?, 1892;19e siècle;figure mythologique (Cerbère, Pluton, sculpture, chien, draperie, trône);papier vergé, gravure, encre;Plutone;1867;;;;?, 1819, ?, 1892;1819-1892;PLUTONE;GARZOLI FRANCESCO ,BIANCHI GAETANO;GARZOLI FRANCESCO;BIANCHI GAETANO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5757;6070059559;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (Bacchus, sculpture, âne, homme, nu);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5759;6070059560;GREGORJ Giovanni Carlo (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;Gregorj : ?, 1797, ?, 1852#campiglia : ?, 1692, ?, 1775;18e siècle;figure mythologique (Minerve, sculpture, égide, casque, draperie);papier vergé, gravure, encre;Minerva Exaere;1867;;;;?, 1797, ?, 1852#campiglia : ?, 1692, ?, 1775;1797-1852-1692-1775;MINERVA EXAERE;GREGORJ GIOVANNI CARLO ,CAMPIGLIA GIOVANNI DOMENICO;GREGORJ GIOVANNI CARLO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5761;6070059561;PAZZI Pietro Antonio (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Pazzi : ?, 1706, ?, 1766#campiglia : ?, 1692, ?, 1775;18e siècle;figure mythologique (Minerve, sculpture, égide, casque, draperie, bouclier);papier vergé, gravure, encre;Minerva;1867;;;ITALIE;?, 1706, ?, 1766#campiglia : ?, 1692, ?, 1775;1706-1766-1692-1775;MINERVA;PAZZI PIETRO ANTONIO ,CAMPIGLIA GIOVANNI DOMENICO;PAZZI PIETRO ANTONIO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5763;6070059562;PAZZI Pietro Antonio (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Pazzi : ?, 1706, ?, 1766#campiglia : ?, 1692, ?, 1775;18e siècle;figure mythologique (Jupiter, sculpture, foudre, draperie);papier vergé, gravure, encre;Giove;1867;;;ITALIE;?, 1706, ?, 1766#campiglia : ?, 1692, ?, 1775;1706-1766-1692-1775;GIOVE;PAZZI PIETRO ANTONIO ,CAMPIGLIA GIOVANNI DOMENICO;PAZZI PIETRO ANTONIO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5765;6070059563;DEQUEVAUVILLIER François (graveur),DUTAILLY (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Dequevauviller françois jacques : paris, 1783, paris, 1848 vers;18e siècle,19e siècle;figure (sculpture, homme, nu, amphore);papier vergé, gravure, encre;;1867;;;FRANCE;paris, 1783, paris, 1848 vers;1783-1848;;DEQUEVAUVILLIER FRANÇOIS ,DUTAILLY;DEQUEVAUVILLIER FRANÇOIS;DUTAILLY;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5767;6070059564;DEQUEVAUVILLIER François (graveur),DUTAILLY (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Dequevauviller françois jacques : paris, 1783, paris, 1848 vers;18e siècle,19e siècle;figure (sculpture, homme, nu, amphore);papier vergé, gravure, encre;;1867;;;FRANCE;paris, 1783, paris, 1848 vers;1783-1848;;DEQUEVAUVILLIER FRANÇOIS ,DUTAILLY;DEQUEVAUVILLIER FRANÇOIS;DUTAILLY;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5769;6070059565;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (Minerve, sculpture, égide, draperie, casque);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5771;6070059566;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (Mars, sculpture, homme, nu, épée, armure);papier, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5773;6070059567;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, homme, nu, feuille de vigne);papier, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5775;6070059568;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (Junon, sculpture, femme, draperie, coupe);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5777;6070059569;CAMPANA Ferdinando (graveur),CASANOVA Francesco Giuseppe (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campana : graveur actif au 18e siècle#casanova : ?, 1727, ?, 1803;18e siècle;figure (sculpture, homme, nu, sport);papier vergé, gravure, encre;;1867;;;ITALIE;graveur actif au 18e siècle#casanova : ?, 1727, ?, 1803;18-1727-1803;;CAMPANA FERDINANDO ,CASANOVA FRANCESCO GIUSEPPE;CAMPANA FERDINANDO;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5779;6070059570;ENGELMANN Godefroy (lithographe),GRANGER Jean-Pierre (lithographe, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;Engelmann : ?, 1788, ?, 1839;19e siècle;scène mythologique (Persée, sculpture, homme, nu, bouclier, putto, draperie, épée, rocher);papier, lithographie, encre;;1867;;;;?, 1788, ?, 1839;1788-1839;;ENGELMANN GODEFROY ,GRANGER JEAN PIERRE;ENGELMANN GODEFROY;GRANGER JEAN PIERRE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5781;6070059571;NOLLI Carlo (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Nolli : ?, 1724, ?, 1775#vanni : ?, 1757, ?, 1792;18e siècle;figure mythologique (Hermès, sculpture, homme, nu, ailettes aux pieds);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1724, ?, 1775#vanni : ?, 1757, ?, 1792;1724-1775-1757-1792;;NOLLI CARLO ,VANNI NICOLA;NOLLI CARLO;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5783;6070059572;FIORILLO Nicola (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Fiorillo : actif au 18e siècle#vanni : ?, 1757, ?, 1792;18e siècle;figure mythologique (Diane, sculpture, arc, draperie);papier vergé, gravure, encre;;1867;;;ITALIE;actif au 18e siècle#vanni : ?, 1757, ?, 1792;18-1757-1792;;FIORILLO NICOLA ,VANNI NICOLA;FIORILLO NICOLA;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5785;6070059573;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique  (sculpture, homme, nu);papier, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5787;6070059574;FERRETTI Lodovico (graveur),BORANI Giovanni Battista (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Ferretti : ?, 1850, ?, 1899#borani : ?, 1810, ?, ?;19e siècle;figure mythologique (Fortuna, divinité, sculpture, draperie, corne d'abondance, gouvernail);papier, gravure, encre;;1867;;;ITALIE;?, 1850, ?, 1899#borani : ?, 1810, ?, ?;1850-1899-1810;;FERRETTI LODOVICO ,BORANI GIOVANNI BATTISTA;FERRETTI LODOVICO;BORANI GIOVANNI BATTISTA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5789;6070059575;CAMPANA Pietro (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campana : ?, 1727, ?, 1765#vanni : ?, 1757, ?, 1792;18e siècle;figure mythologique (Apollon, sculpture, draperie, couronne : feuille, auréole, homme, nu, lyre);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1727, ?, 1765#vanni : ?, 1757, ?, 1792;1727-1765-1757-1792;;CAMPANA PIETRO ,VANNI NICOLA;CAMPANA PIETRO;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5791;6070059576;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;scène (sculpture, homme, nu, combat, lutte, à l'antique);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5793;6070059577;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, femme, toge, à l'antique);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5795;6070059578;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, homme, draperie);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5797;6070059579;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique,paysage (Diane, sculpture, croissant de lune, draperie);papier vergé, gravure, encre;Diana;1867;;;;;;DIANA;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5799;6070059580;POTRELLE Jean Louis (graveur),DESNOYERS Auguste (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Potrelle : ?, 1788, ?, 1824;19e siècle;figure mythologique (Hébé, sculpture, cruche, femme, nu);papier vergé, gravure, encre;'Hébée';1867;;;FRANCE;?, 1788, ?, 1824;1788-1824;'HEBEE';POTRELLE JEAN LOUIS ,DESNOYERS AUGUSTE;POTRELLE JEAN LOUIS;DESNOYERS AUGUSTE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5801;6070059581;PEDRETTI Vittore (graveur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Pedretti : ?, 1799, ?, 1868;19e siècle;figure mythologique (Hermès, sculpture, candélabre, raisin, aulos, aile, ailettes aux pieds, homme, nu, putto);papier, gravure, encre;;1867;;;ITALIE;?, 1799, ?, 1868;1799-1868;;PEDRETTI VITTORE;PEDRETTI VITTORE;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5803;6070059582;;1867;;2016-11-04;2016-10-17;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (sculpture, raisin, vigne, Ménade, draperie);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5805;6070059583;CORSI Antonio (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-17;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Corsi antonio : actif en 1800-1811, campiglia : ?, 1692, ?, 1775;18e siècle,19e siècle,18e siècle;figure (sculpture, femme, Romain, draperie, à l'antique);papier vergé, gravure, encre;Sacerdos;1867;;;ITALIE;actif en 1800-1811, campiglia : ?, 1692, ?, 1775;1800-1811-1692-1775;SACERDOS;CORSI ANTONIO ,CAMPIGLIA GIOVANNI DOMENICO;CORSI ANTONIO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5807;6070059584;JAQUEMOT Georges François Louis (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Jaquemot : ?, 1808, ?, 1880;19e siècle;figure mythologique (Bacchus, sculpture, tête, enfant, tresse, femme, draperie, faune);papier, gravure, encre;;1867;;;FRANCE;?, 1808, ?, 1880;1808-1880;;JAQUEMOT GEORGES FRANÇOIS LOUIS;JAQUEMOT GEORGES FRANÇOIS LOUIS;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5809;6070059585;MARAIS (graveur),WICAR Jean-Baptiste Joseph (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Marais : n'est pas auguste léon marais.#wicar : lille, 1762, rome, 1834;18e siècle,19e siècle;figures (sculpture, homme, nu, femme, nu);papier, gravure, encre;;1867;;;FRANCE;n'est pas auguste léon marais.#wicar : lille, 1762, rome, 1834;1762-1834;;MARAIS ,WICAR JEAN BAPTISTE JOSEPH;MARAIS;WICAR JEAN BAPTISTE JOSEPH;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5811;6070059586;ALOJA Giuseppe (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Aloja : actif au 18e siècle#vanni : ?, 1757, ?, 1792;18e siècle,19e siècle;représentation d'objet,figure (sculpture, lampe à huile, Priape, homme, nu, cloche);papier vergé, gravure, encre;;1867;;;ITALIE;actif au 18e siècle#vanni : ?, 1757, ?, 1792;18-1757-1792;;ALOJA GIUSEPPE ,VANNI NICOLA;ALOJA GIUSEPPE;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5813;6070059587;BIANCHI Gaetano (lithographe),ROSI (lithographe),RUST Giovanni (lithographe, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Bianchi : ?, 1819, ?, 1892#rust : actif au 19e siècle;19e siècle;scène mythologique (Antinoüs, Bacchus, Osiris, sculpture, homme, nu, draperie, thyrse, couronne : feuille, lierre, raisin);papier, gravure, encre;Antino;1867;;;ITALIE;?, 1819, ?, 1892#rust : actif au 19e siècle;1819-1892-19;ANTINO;BIANCHI GAETANO ,ROSI ,RUST GIOVANNI;BIANCHI GAETANO;ROSI;RUST GIOVANNI;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5815;6070059588;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;portrait (sculpture, empereur romain, homme, assis, draperie, couronne : feuille);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5817;6070059589;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, médaillon orn, bonnet, prêtre);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5819;6070059590;GARZOLI Francesco (graveur),CONSONI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;Consoni : ?, 1814, ?, 1884;19e siècle;figure mythologique (Ptolémée Apion, sculpture, homme, nu);papier, gravure, encre;Tolomeo Apione;1867;;;;?, 1814, ?, 1884;1814-1884;TOLOMEO APIONE;GARZOLI FRANCESCO ,CONSONI NICOLA;GARZOLI FRANCESCO;CONSONI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5821;6070059591;WICAR Jean-Baptiste Joseph (graveur),DUVAL Louis (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Wicar : lille, 1762, rome, 1834;19e siècle;figure mythologique (sculpture, toge, globe, étoile, coupe, femme, déesse gréco-romaine);papier vergé, gravure, encre;;1867;;;FRANCE;lille, 1762, rome, 1834;1762-1834;;WICAR JEAN BAPTISTE JOSEPH ,DUVAL LOUIS;WICAR JEAN BAPTISTE JOSEPH;DUVAL LOUIS;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5823;6070059592;CAMPIGLIA Giovanni Domenico (graveur),CORSI Antonio (graveur, dessinateur),PRAXITELE (d'après);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campiglia : lucques, 1692, ?, 1775, corsi antonio : actif en 1800-1811;18e siècle;figure mythologique (Aphrodite, sculpture, femme, nu, coquillage, draperie, amphore);papier vergé, gravure, encre;Aphrodite de Cnide;1867;;;ITALIE;lucques, 1692, ?, 1775, corsi antonio : actif en 1800-1811;1692-1775-1800-1811;APHRODITE DE CNIDE;CAMPIGLIA GIOVANNI DOMENICO ,CORSI ANTONIO ,PRAXITELE;CAMPIGLIA GIOVANNI DOMENICO;CORSI ANTONIO;PRAXITELE;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5825;6070059593;MOLINARI Giovanni Domenico (graveur),BORANI Giovanni Battista (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Molinari : caresana, 1721, turin, 1793#borani : ?, 1810, ?, ?;18e siècle;figure mythologique (Bacchus, sculpture, homme, nu);papier, gravure, encre;Bacco;1867;;;ITALIE;caresana, 1721, turin, 1793#borani : ?, 1810, ?, ?;1721-1793-1810;BACCO;MOLINARI GIOVANNI DOMENICO ,BORANI GIOVANNI BATTISTA;MOLINARI GIOVANNI DOMENICO;BORANI GIOVANNI BATTISTA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
